entity,year,health_expenditure_per_capita_-_total
Argentina,2004,1041.893
Argentina,2005,1173.883
Argentina,2006,1272.771
Argentina,2007,1413.069
Argentina,2008,1537.76
Argentina,2009,1643.76
Argentina,2010,1780.712
Argentina,2011,1895.262
Argentina,2012,1942.246
Argentina,2013,1955.837
Argentina,2014,1859.764
Argentina,2015,1986.572
Argentina,2016,1729.939
Argentina,2017,2037.97
Argentina,2018,1783.826
Argentina,2019,1698.412
Argentina,2020,1617.303
Australia,1971,1003.471
Australia,1972,1031.394
Australia,1973,1083.934
Australia,1974,1203.78
Australia,1975,1356.216
Australia,1976,1393.174
Australia,1977,1449.995
Australia,1978,1456.751
Australia,1979,1457.81
Australia,1980,1481.476
Australia,1981,1533.005
Australia,1982,1531.905
Australia,1983,1578.136
Australia,1984,1612.443
Australia,1985,1656.433
Australia,1986,1713.429
Australia,1987,1748.303
Australia,1988,1816.941
Australia,1989,1857.564
Australia,1990,1890.798
Australia,1991,1935.431
Australia,1992,1992.681
Australia,1993,2044.871
Australia,1994,2122.61
Australia,1995,2196.56
Australia,1996,2296.52
Australia,1997,2375.648
Australia,1998,2502.14
Australia,1999,2619.126
Australia,2000,2743.373
Australia,2001,2857.745
Australia,2002,2991.203
Australia,2003,3134.231
Australia,2004,3336.89
Australia,2005,3397.453
Australia,2006,3525.739
Australia,2007,3660.746
Australia,2008,3806.53
Australia,2009,3886.496
Australia,2010,4009.337
Australia,2011,4138.934
Australia,2012,4137.163
Australia,2013,4179.616
Australia,2014,4637.524
Australia,2015,4776.158
Australia,2016,4896.125
Australia,2017,4992.317
Australia,2018,5071.227
Australia,2019,5083.313
Australia,2020,5467.369
Australia,2021,5838.528
Australia,2022,5449.61
Austria,1970,968.116
Austria,1971,1010.34
Austria,1972,1077.016
Austria,1973,1160.894
Austria,1974,1255.338
Austria,1975,1583.249
Austria,1976,1703.393
Austria,1977,1769.085
Austria,1978,1858.553
Austria,1979,1952.923
Austria,1980,2007.86
Austria,1981,1709.473
Austria,1982,1727.029
Austria,1983,1732.642
Austria,1984,1743.721
Austria,1985,1811.867
Austria,1986,1901.259
Austria,1987,2034.801
Austria,1988,2096.17
Austria,1989,2220.363
Austria,1990,2709.38
Austria,1991,2802.374
Austria,1992,2935.349
Austria,1993,3103.495
Austria,1994,3314.695
Austria,1995,3356.609
Austria,1996,3397.157
Austria,1997,3496.897
Austria,1998,3686.417
Austria,1999,3865.454
Austria,2000,3922.568
Austria,2001,3968.92
Austria,2002,4071.034
Austria,2003,4144.123
Austria,2004,4301.619
Austria,2005,4341.386
Austria,2006,4417.409
Austria,2007,4558.6
Austria,2008,4691.891
Austria,2009,4791.647
Austria,2010,4823.752
Austria,2011,4802.025
Austria,2012,4879.844
Austria,2013,4877.253
Austria,2014,4921.109
Austria,2015,4943.516
Austria,2016,4994.509
Austria,2017,5048.819
Austria,2018,5116.377
Austria,2019,5223.387
Austria,2020,5287.385
Austria,2021,5838.001
Austria,2022,5683.874
Belgium,1970,855.881
Belgium,1971,902.114
Belgium,1972,982.797
Belgium,1973,1122.671
Belgium,1974,1169.414
Belgium,1975,1405.755
Belgium,1976,1528.036
Belgium,1977,1663.788
Belgium,1978,1753.964
Belgium,1979,1803.781
Belgium,1980,1714.911
Belgium,1981,1776.236
Belgium,1982,1864.629
Belgium,1983,1895.734
Belgium,1984,1887.355
Belgium,1985,1939.584
Belgium,1986,2070.043
Belgium,1987,2142.571
Belgium,1988,2272.191
Belgium,1989,2355.66
Belgium,1990,2438.814
Belgium,1991,2573.594
Belgium,1992,2689.028
Belgium,1993,2722.925
Belgium,1994,2730.964
Belgium,1995,2755.048
Belgium,1996,2878.678
Belgium,1997,2916.808
Belgium,1998,3027.213
Belgium,1999,3179.718
Belgium,2000,3264.102
Belgium,2001,3338.825
Belgium,2002,3454.365
Belgium,2003,3828.355
Belgium,2004,4000.011
Belgium,2005,3992.685
Belgium,2006,4002.669
Belgium,2007,4094.101
Belgium,2008,4215.434
Belgium,2009,4421.128
Belgium,2010,4446.138
Belgium,2011,4466.859
Belgium,2012,4526.452
Belgium,2013,4562.32
Belgium,2014,4638.964
Belgium,2015,4817.917
Belgium,2016,4879.136
Belgium,2017,4930.062
Belgium,2018,4998.042
Belgium,2019,5069.769
Belgium,2020,4959.216
Belgium,2021,5198.929
Belgium,2022,5200.518
Brazil,2000,953.336
Brazil,2001,974.763
Brazil,2002,1018.677
Brazil,2003,956.411
Brazil,2004,1002.265
Brazil,2005,1008.382
Brazil,2006,1072.588
Brazil,2007,1126.021
Brazil,2008,1150.926
Brazil,2009,1196.338
Brazil,2010,1220.171
Brazil,2011,1239.974
Brazil,2012,1244.551
Brazil,2013,1299.913
Brazil,2014,1357.322
Brazil,2015,1360.799
Brazil,2016,1334.801
Brazil,2017,1385.726
Brazil,2018,1403.285
Brazil,2019,1430.291
Brazil,2020,1460.723
Bulgaria,2003,796.587
Bulgaria,2004,834.352
Bulgaria,2005,894.934
Bulgaria,2006,947.357
Bulgaria,2007,984.021
Bulgaria,2008,1082.909
Bulgaria,2009,1135.35
Bulgaria,2010,1229.447
Bulgaria,2011,1296.571
Bulgaria,2012,1368.839
Bulgaria,2013,1306.659
Bulgaria,2014,1422.118
Bulgaria,2015,1436.625
Bulgaria,2016,1528.965
Bulgaria,2017,1597.685
Bulgaria,2018,1635.541
Bulgaria,2019,1696.683
Bulgaria,2020,2034.903
Bulgaria,2021,2232.605
Canada,1970,1276.731
Canada,1971,1400.057
Canada,1972,1457.012
Canada,1973,1498.034
Canada,1974,1558.981
Canada,1975,1668.831
Canada,1976,1762.431
Canada,1977,1768.755
Canada,1978,1780.16
Canada,1979,1811.396
Canada,1980,1871.709
Canada,1981,1949.154
Canada,1982,2044.793
Canada,1983,2100.621
Canada,1984,2150.282
Canada,1985,2218.614
Canada,1986,2287.982
Canada,1987,2352.269
Canada,1988,2438.825
Canada,1989,2524.289
Canada,1990,2600.196
Canada,1991,2669.854
Canada,1992,2730.925
Canada,1993,2711.031
Canada,1994,2698.321
Canada,1995,2672.904
Canada,1996,2636.037
Canada,1997,2709.356
Canada,1998,2823.738
Canada,1999,2874.955
Canada,2000,3007.375
Canada,2001,3152.335
Canada,2002,3263.498
Canada,2003,3391.756
Canada,2004,3541.106
Canada,2005,3643.872
Canada,2006,3857.096
Canada,2007,3994.891
Canada,2008,4137.03
Canada,2009,4266.407
Canada,2010,4419.747
Canada,2011,4421.042
Canada,2012,4495.806
Canada,2013,4505.53
Canada,2014,4519.204
Canada,2015,4633.159
Canada,2016,4749.982
Canada,2017,4843.318
Canada,2018,4914.716
Canada,2019,4967.721
Canada,2020,5463.847
Canada,2021,5684.725
Canada,2022,5330.794
Chile,2000,879.338
Chile,2001,903.477
Chile,2002,936.947
Chile,2003,986.973
Chile,2004,1047.952
Chile,2005,1079.674
Chile,2006,1125.019
Chile,2007,1202.663
Chile,2008,1227.674
Chile,2009,1430.035
Chile,2010,1357.868
Chile,2011,1419.095
