entity,year,observation_value_-_indicator:_infant_mortality_rate_-_sex:_female_-_wealth_quintile:_total_-_unit_of_measure:_deaths_per_100_live_births,observation_value_-_indicator:_infant_mortality_rate_-_sex:_male_-_wealth_quintile:_total_-_unit_of_measure:_deaths_per_100_live_births,period_life_expectancy_-_sex:_female_-_age:_0,period_life_expectancy_-_sex:_male_-_age:_0,gdp_per_capita,health_expenditure_per_capita_-_total,aggregated_infant_mortality,aggregated_life_expectancy
Argentina,2004,1.3876945,1.6917598,78.1768,71.5004,14183.226,1041.893,1.53972715,74.8386
Argentina,2005,1.3318255,1.6510189,78.6321,71.7671,15344.157,1173.883,1.4914222000000001,75.1996
Argentina,2006,1.2929113,1.6036012,78.4366,72.0212,16490.473,1272.771,1.44825625,75.2289
Argentina,2007,1.2589974,1.5586382,77.925,71.5743,17891.943,1413.069,1.4088178,74.74965
Argentina,2008,1.2278488,1.5161465,78.5768,72.1919,18520.305,1537.76,1.37199765,75.38435000000001
Argentina,2009,1.1915591,1.4760828,78.5926,72.4494,17328.977,1643.76,1.33382095,75.521
Argentina,2010,1.1556981,1.4240783,78.7322,72.5419,18979.992,1780.712,1.2898882,75.63705
Argentina,2011,1.1179365,1.3614709,79.4016,72.7385,20003.0,1895.262,1.2397037000000002,76.07005000000001
Argentina,2012,1.0764048,1.2970601,78.6724,72.8507,19573.963,1942.246,1.18673245,75.76155
Argentina,2013,1.0321207,1.2389674,78.6231,72.9625,19821.643,1955.837,1.13554405,75.7928
Argentina,2014,0.98820764,1.1881464,79.1501,73.3031,19112.232,1859.764,1.08817702,76.22659999999999
Argentina,2015,0.9512334,1.140863,79.7949,73.367,19423.666,1986.572,1.0460482,76.58095
Argentina,2016,0.91707575,1.1007345,79.1308,73.0445,18819.643,1729.939,1.008905125,76.08765
Argentina,2017,0.8864425,1.0649025,79.2038,73.7908,19150.52,2037.97,0.9756725,76.4973
Argentina,2018,0.8583023,1.0315773,79.5053,73.9512,18460.87,1783.826,0.9449398,76.72825
Argentina,2019,0.83379394,0.99921674,79.4385,74.1628,17912.637,1698.412,0.9165053400000001,76.80065
Argentina,2020,0.80842435,0.96969414,78.7826,72.9811,15975.839,1617.303,0.889059245,75.88185
Australia,1971,1.5167229,1.9593794,74.9012,68.25,19590.0,1003.471,1.73805115,71.57560000000001
Australia,1972,1.461931,1.9005213,75.3163,68.4799,19772.0,1031.394,1.68122615,71.8981
Australia,1973,1.3981253,1.818362,75.7092,68.6766,20527.0,1083.934,1.60824365,72.1929
Australia,1974,1.3230789,1.7220482,75.5062,68.4673,20698.0,1203.78,1.52256355,71.98675
Australia,1975,1.2476114,1.6158422,76.4212,69.375,20993.0,1356.216,1.4317267999999999,72.8981
Australia,1976,1.1763554,1.5086923,76.4093,69.4045,21613.0,1393.174,1.34252385,72.90690000000001
Australia,1977,1.1048148,1.4154462,77.063,70.0737,21592.0,1449.995,1.2601305,73.56835000000001
Australia,1978,1.0427,1.3320947,77.3329,70.331,21948.0,1456.751,1.18739735,73.83195
Australia,1979,0.99146205,1.2609779,77.9913,70.8464,22826.0,1457.81,1.1262199750000002,74.41884999999999
Australia,1980,0.9471467,1.2047819,78.2288,71.0871,22972.0,1481.476,1.0759642999999999,74.65795
Australia,1981,0.91255015,1.1597142,78.4352,71.3009,23368.0,1533.005,1.036132175,74.86805
Australia,1982,0.88496363,1.1247302,78.2901,71.3127,22972.0,1531.905,1.004846915,74.8014
Australia,1983,0.8623866,1.0949662,78.8249,72.1494,22697.0,1578.136,0.9786764,75.48715
Australia,1984,0.8383006,1.0717708,78.8441,72.2697,24009.0,1612.443,0.9550356999999999,75.5569
Australia,1985,0.81714755,1.044456,78.6738,72.2759,24927.0,1656.433,0.9308017749999999,75.47485
Australia,1986,0.79147786,1.01679,79.3146,72.8999,25116.0,1713.429,0.90413393,76.10725
Australia,1987,0.7648255,0.9821517,79.3391,72.9165,25971.0,1748.303,0.8734886,76.12780000000001
Australia,1988,0.73524505,0.94130963,79.5924,73.1757,26702.0,1816.941,0.83827734,76.38405
Australia,1989,0.7013256,0.8953625,79.3691,73.1147,27407.0,1857.564,0.79834405,76.2419
Australia,1990,0.66392416,0.84666836,80.147,73.9777,27373.0,1890.798,0.7552962599999999,77.06235000000001
Australia,1991,0.626125,0.7969938,80.4914,74.4908,26861.275,1935.431,0.7115594000000001,77.49109999999999
Australia,1992,0.5880379,0.7508229,80.4855,74.4929,27560.178,1992.681,0.6694304,77.48920000000001
